sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790001310.964899,524,0.145,-1.063,-67.897
XDA.XsDeviceId,1790001310.980810,525,0.145,-1.064,-67.899
XDA.XsDeviceId,1790001310.996782,526,0.145,-1.063,-67.900
XDA.XsDeviceId,1790001311.028516,527,0.145,-1.063,-67.901
XDA.XsDeviceId,1790001311.044778,528,0.145,-1.063,-67.901
XDA.XsDeviceId,1790001311.060772,529,0.144,-1.062,-67.901
XDA.XsDeviceId,1790001311.076407,530,0.146,-1.063,-67.900
XDA.XsDeviceId,1790001311.092198,531,0.144,-1.063,-67.902
XDA.XsDeviceId,1790001311.108124,532,0.144,-1.062,-67.903
XDA.XsDeviceId,1790001311.124060,533,0.143,-1.062,-67.903
XDA.XsDeviceId,1790001311.140079,534,0.144,-1.061,-67.904
XDA.XsDeviceId,1790001311.156010,535,0.144,-1.062,-67.903
XDA.XsDeviceId,1790001311.171990,536,0.145,-1.062,-67.902
XDA.XsDeviceId,1790001311.187968,537,0.147,-1.061,-67.900
XDA.XsDeviceId,1790001311.203940,538,0.147,-1.061,-67.902
XDA.XsDeviceId,1790001311.219898,539,0.148,-1.062,-67.903
XDA.XsDeviceId,1790001311.235681,540,0.148,-1.063,-67.902
XDA.XsDeviceId,1790001311.251345,541,0.148,-1.062,-67.902
XDA.XsDeviceId,1790001311.267473,542,0.149,-1.063,-67.904
XDA.XsDeviceId,1790001311.283354,543,0.150,-1.062,-67.904
XDA.XsDeviceId,1790001311.299381,544,0.149,-1.064,-67.902
XDA.XsDeviceId,1790001311.315264,545,0.150,-1.061,-67.901
XDA.XsDeviceId,1790001311.331283,546,0.149,-1.062,-67.902
XDA.XsDeviceId,1790001311.347225,547,0.149,-1.063,-67.902
XDA.XsDeviceId,1790001311.363141,548,0.151,-1.063,-67.901
XDA.XsDeviceId,1790001311.395078,549,0.151,-1.062,-67.900
XDA.XsDeviceId,1790001311.411161,550,0.150,-1.062,-67.899
XDA.XsDeviceId,1790001311.427085,551,0.152,-1.061,-67.901
XDA.XsDeviceId,1790001311.443105,552,0.154,-1.064,-67.902
XDA.XsDeviceId,1790001311.458987,553,0.154,-1.063,-67.902
XDA.XsDeviceId,1790001311.475060,554,0.153,-1.062,-67.906
XDA.XsDeviceId,1790001311.491177,555,0.152,-1.061,-67.905
XDA.XsDeviceId,1790001311.507034,556,0.153,-1.062,-67.905
XDA.XsDeviceId,1790001311.523089,557,0.155,-1.063,-67.906
XDA.XsDeviceId,1790001311.538949,558,0.153,-1.062,-67.905
XDA.XsDeviceId,1790001311.554986,559,0.156,-1.061,-67.904
XDA.XsDeviceId,1790001311.570922,560,0.155,-1.062,-67.905
XDA.XsDeviceId,1790001311.586889,561,0.154,-1.061,-67.905
XDA.XsDeviceId,1790001311.602830,562,0.154,-1.061,-67.905
XDA.XsDeviceId,1790001311.618909,563,0.154,-1.061,-67.906
XDA.XsDeviceId,1790001311.634809,564,0.156,-1.060,-67.906
XDA.XsDeviceId,1790001311.650791,565,0.155,-1.061,-67.906
XDA.XsDeviceId,1790001311.666936,566,0.154,-1.061,-67.909
XDA.XsDeviceId,1790001311.682877,567,0.154,-1.061,-67.908
XDA.XsDeviceId,1790001311.698738,568,0.151,-1.061,-67.908
XDA.XsDeviceId,1790001311.714716,569,0.153,-1.062,-67.911
XDA.XsDeviceId,1790001311.730706,570,0.153,-1.063,-67.909
XDA.XsDeviceId,1790001311.746632,571,0.152,-1.061,-67.909
XDA.XsDeviceId,1790001311.762562,572,0.150,-1.061,-67.910
XDA.XsDeviceId,1790001311.794540,573,0.150,-1.060,-67.910
XDA.XsDeviceId,1790001311.810610,574,0.151,-1.060,-67.909
XDA.XsDeviceId,1790001311.826489,575,0.150,-1.059,-67.911
XDA.XsDeviceId,1790001311.842534,576,0.151,-1.058,-67.909
XDA.XsDeviceId,1790001311.858129,577,0.153,-1.059,-67.910
XDA.XsDeviceId,1790001311.873996,578,0.153,-1.060,-67.911
XDA.XsDeviceId,1790001311.889924,579,0.159,-1.059,-67.910
XDA.XsDeviceId,1790001311.905867,580,0.159,-1.060,-67.909
XDA.XsDeviceId,1790001311.921878,581,0.159,-1.059,-67.907
XDA.XsDeviceId,1790001311.937127,582,0.157,-1.058,-67.906
XDA.XsDeviceId,1790001311.953154,583,0.157,-1.056,-67.908
XDA.XsDeviceId,1790001311.975794,584,0.158,-1.057,-67.908
XDA.XsDeviceId,1790001311.982263,585,0.159,-1.057,-67.908
XDA.XsDeviceId,1790001311.998268,586,0.160,-1.057,-67.907
XDA.XsDeviceId,1790001312.014312,587,0.159,-1.058,-67.908
XDA.XsDeviceId,1790001312.030223,588,0.160,-1.059,-67.908
XDA.XsDeviceId,1790001312.046270,589,0.161,-1.059,-67.909
XDA.XsDeviceId,1790001312.077919,590,0.159,-1.060,-67.909
XDA.XsDeviceId,1790001312.093777,591,0.161,-1.059,-67.910
XDA.XsDeviceId,1790001312.109589,592,0.163,-1.060,-67.909
XDA.XsDeviceId,1790001312.125685,593,0.162,-1.058,-67.911
